"wbic","county","waterbody.name","trtyco","trtystat","trtyprop","resstat","resprop","outarea","region","wtm91.x","wtm91.y","lat","long","lake.area","class.code","shore.length","max.depth","draintype.code","depth.below.20","depth.above.3","sand","gravel","rock","muck","drainage","drainage.ag","drainage.wild","watershed.desc","source","outlet","water.fluct","wet.adj","public.desc","wae.code","mus.code","lake.chain.code"
2082300,"dunn","colfax_pond",2,1,1,0,0,0,"wcr",383231.97,505150.48,45,-91.73,10,5,3.5,15,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2082600,"dunn","mirror_lake",2,1,1,0,0,0,"wcr",384030.95,504330.31,44.99,-91.72,10,3,0.9,13,"dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083400,"dunn","un_slough",2,1,1,0,0,0,"wcr",384481.36,509157.16,45.04,-91.72,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083600,"dunn","un_slough",2,1,1,0,0,0,"wcr",385760.98,511942.2,45.06,-91.7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083800,"dunn","un_slough",2,1,1,0,0,0,"wcr",384584.99,513968.78,45.08,-91.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2084400,"chippewa","un_lake",1,1,1,0,0,0,"wcr",392164.87,512976.09,45.07,-91.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2085400,"dunn","un_lake",2,1,1,0,0,0,"wcr",374881.06,527540.67,45.2,-91.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2087000,"barron","un_lake",1,1,1,0,0,0,"nor",390610.29,528362.42,45.21,-91.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2087200,"dunn","un_lake",2,1,1,0,0,0,"wcr",386935.91,526062.05,45.19,-91.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2088000,"barron","dallas_flowage",1,1,1,0,0,0,"nor",377450.02,533138.16,45.25,-91.81,27,3,1.7,9,"dg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
